title,time,genre,rating,description,votes,directors,stars,year,gross
Like Father,98,Comedy,6.1,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.",21228,['Lauren Miller Rogen'],"['Kristen Bell', 'Danielle Davenport', 'Kimiko Glenn', 'Wynter Kullman']",2018,
Like Mike,99,Comedy,5.3,"A 13-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials ""M.J."" inside.",20687,['John Schultz'],"['Shad Moss', 'Jonathan Lipnicki', 'Morris Chestnut', 'Brenda Song']",2002,51430000.0
Like Someone in Love,109,Drama,7.0,"In Tokyo, a young sex worker develops an unexpected connection with a widower over a period of two days.",11772,"['Abbas Kiarostami', 'Shay Modaressi']","['Rin Takanashi', 'Tadashi Okuno', 'Ryô Kase', 'Denden']",2012,220000.0
Like a Boss,83,Comedy,4.6,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,13627,['Miguel Arteta'],"['Tiffany Haddish', 'Rose Byrne', 'Salma Hayek', 'Karan Soni']",2020,
Lilies of the Field,94,Drama,7.5,A travelling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.,11575,['Ralph Nelson'],"['Sidney Poitier', 'Lilia Skala', 'Lisa Mann', 'Isa Crino']",1963,
Lilja 4-ever,109,Crime,7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",45224,['Lukas Moodysson'],"['Oksana Akinshina', 'Artyom Bogucharskiy', 'Pavel Ponomaryov', 'Lyubov Agapova']",2002,180000.0
Lilo & Stitch,85,Animation,7.3,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",184620,"['Dean DeBlois', 'Chris Sanders']","['Daveigh Chase', 'Chris Sanders', 'Tia Carrere', 'David Ogden Stiers']",2002,145790000.0
Limelight,137,Drama,8.0,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,20070,['Charles Chaplin'],"['Charles Chaplin', 'Claire Bloom', 'Nigel Bruce', 'Buster Keaton']",1952,1000000.0
Limitless,105,Sci-Fi,7.4,"With the help of a mysterious pill that enables the user to access 100% of his brain's abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with many dangers.",560833,['Neil Burger'],"['Bradley Cooper', 'Anna Friel', 'Abbie Cornish', 'Robert De Niro']",2011,79250000.0
Limonata,110,Comedy,7.4,"So begins an entertaining road story where we witness two brothers with different cultural backgrounds, who don't even know each other, have similarities, differences and even their fights.",13657,['Ali Atay'],"['Ertan Saban', 'Serkan Keskin', 'Funda Eryigit', 'Luran Ahmeti']",2015,
Lincoln,150,Biography,7.3,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",257780,['Steven Spielberg'],"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn', 'Joseph Gordon-Levitt']",2012,182210000.0
Lion,118,Biography,8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",231824,['Garth Davis'],"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']",2016,51740000.0
Lion of the Desert,173,Biography,8.2,"In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar.",15509,['Moustapha Akkad'],"['Anthony Quinn', 'Oliver Reed', 'Rod Steiger', 'Irene Papas']",1980,3270000.0
